	Unnamed: 0	date	well_id	variant_id	bhp	prod_w	prod_o	prod_g	prod	sat	wf
51499	114	3499	0	43	30.0	6.180637602369368	9.727879782631431	5.366606484577286e-10	15.9085173850008	0.38851122658336	0.815
51500	115	3530	0	43	30.0	6.2467943287776695	9.683042393021484	5.406115081494621e-10	15.929836721799154	0.392144278555552	0.815
51501	116	3560	0	43	30.0	6.309781365691471	9.640449925450978	5.448420368465153e-10	15.95023129114245	0.3955918413042352	0.815
51502	117	3591	0	43	30.0	6.3740345337855455	9.597260672706938	5.47843903032254e-10	15.971295206492483	0.3990931512676843	0.815
51503	118	3621	0	43	30.0	6.435237781030946	9.556207504540405	5.519238245986437e-10	15.99144528557135	0.402417521750663	0.815
51504	119	3652	0	43	30.0	6.497370635776667	9.514624719063187	5.556865102077876e-10	16.011995354839854	0.4057814464586853	0.815
51505	120	3683	0	43	30.0	6.558377518418109	9.473887866944988	5.596787205949705e-10	16.032265385363097	0.409073662441097	0.815
51506	121	3712	0	43	30.0	6.6144984416084	9.4365412249929	5.643059702433254e-10	16.0510396666013	0.412091589018481	0.815
51507	122	3743	0	43	30.0	6.673703231861353	9.397299236205264	5.681418088249543e-10	16.071002468066617	0.4152636554640649	0.815
51508	123	3773	0	43	30.0	6.730437664949897	9.359707465349636	5.71537263229129e-10	16.090145130299533	0.4182956468351385	0.815
51509	124	3804	0	43	30.0	6.788389763531075	9.321345588740868	5.763464139760017e-10	16.109735352271944	0.4213843129690963	0.815
51510	125	3834	0	43	30.0	6.8437924872552	9.284732940000309	5.806004017584236e-10	16.12852542725551	0.4243284680997502	0.815
51511	126	3865	0	43	30.0	6.900328337927746	9.24749749938819	5.836866094321609e-10	16.147825837315935	0.4273224400266821	0.815
51512	127	3896	0	43	30.0	6.956145628157869	9.210967428189832	5.868800808801342e-10	16.167113056347702	0.4302651687975098	0.815
51513	128	3926	0	43	30.0	7.009398683688735	9.17623606401478	5.902806763789148e-10	16.185634747703517	0.4330629470483545	0.815
51514	129	3957	0	43	30.0	7.063691911501024	9.14089964104511	5.945066418130517e-10	16.204591552546134	0.4359068162005692	0.815
51515	130	3987	0	43	30.0	7.116874987448281	9.107781123906763	5.98552824777762e-10	16.224656111355046	0.4386456599513033	0.815
51516	131	4018	0	43	30.0	7.173366063521537	9.075162109039557	6.03225967165971e-10	16.248528172561095	0.4414778980188007	0.815
51517	132	4049	0	43	30.0	7.2298927247843645	9.043763818512357	6.073168894671652e-10	16.27365654329672	0.4442697131741071	0.815
51518	133	4077	0	43	30.0	7.280265616025764	9.016204134694782	6.115517957967477e-10	16.296469750720547	0.4467388168964549	0.8150000000000001
51519	134	4108	0	43	30.0	7.337531209573554	8.987415297667415	6.145908003741506e-10	16.32494650724097	0.4494673968039634	0.815
51520	135	4138	0	43	30.0	7.391865835038549	8.960192692645256	6.184195926229808e-10	16.352058527683806	0.4520449717400548	0.815
51521	136	4169	0	43	30.0	7.447248228941871	8.932606795273117	6.234706926083815e-10	16.379855024214987	0.4546589831187339	0.815
51522	137	4199	0	43	30.0	7.5002387305697455	8.906301000515349	6.278613109022794e-10	16.406539731085093	0.4571493351739011	0.815
51523	138	4230	0	43	30.0	7.554391256292724	8.879483299416142	6.335539938163382e-10	16.433874555708865	0.4596841256566881	0.815
51524	139	4261	0	43	30.0	7.607965130078324	8.852999397442497	6.38252381133747e-10	16.460964527520822	0.4621822200855053	0.815
51525	140	4291	0	43	30.0	7.659274147233891	8.82767546759549	6.427578599075615e-10	16.48694961482938	0.4645658733829493	0.815
51526	141	4322	0	43	30.0	7.711706192097877	8.801837009240439	6.46136060407393e-10	16.513543201338315	0.4669928251056922	0.815
51527	142	4352	0	43	30.0	7.762053378991983	8.778020547533291	6.501106498761313e-10	16.540073926525274	0.4692877077498426	0.815
51528	143	4383	0	43	30.0	7.813847228742129	8.753587401455256	6.547273224008438e-10	16.567434630197386	0.4716389352458869	0.815
51529	144	4414	0	43	30.0	7.865456297816131	8.72927471356359	6.592960877977301e-10	16.59473101137972	0.4739731118523372	0.815
51530	145	4442	0	43	30.0	7.911900500423753	8.70740438356179	6.631852459499764e-10	16.619304883985542	0.4760668725710487	0.8150000000000001
51531	146	4473	0	43	30.0	7.963402392878106	8.683227611139152	6.678500042757791e-10	16.646630004017258	0.4783792509929237	0.815
51532	147	4503	0	43	30.0	8.013367636698947	8.659832918504792	6.736423761625675e-10	16.67320055520374	0.4806136416441028	0.815
51533	148	4534	0	43	30.0	8.064737954992182	8.635739174063644	6.760303666043839e-10	16.700477129055827	0.4829046435422487	0.815
51534	149	4564	0	43	30.0	8.114187988136988	8.612560221838173	6.81155281832139e-10	16.726748209975163	0.4851025367439925	0.815
51535	150	4595	0	43	30.0	8.16504071166458	8.58873877982274	6.864093105334867e-10	16.75377949148732	0.4873551496731395	0.815
51536	151	4626	0	43	30.0	8.215660830945836	8.56504575501832	6.916323548918162e-10	16.780706585964154	0.4895896837751541	0.815
51537	152	4656	0	43	30.0	8.264836318893115	8.542163379356486	6.95531954126021e-10	16.8069996982496	0.4917496559337639	0.815
51538	153	4687	0	43	30.0	8.315330525823954	8.51862644920117	7.00758709463624e-10	16.833956975025124	0.4939617309323403	0.815
51539	154	4717	0	43	30.0	8.36378063821558	8.496037453310347	7.060180625336472e-10	16.859818091525927	0.496077750828129	0.815
51540	155	4748	0	43	30.0	8.413643542514498	8.472904708427507	7.093314166727296e-10	16.886548250942006	0.4982453144055149	0.815
51541	156	4779	0	43	30.0	8.463399943225964	8.449911823194736	7.145887928340466e-10	16.913311766420698	0.500398742724592	0.815
51542	157	4807	0	43	30.0	8.508526453732486	8.429235610905943	7.184699683394286e-10	16.937762064638427	0.5023406528714937	0.8150000000000001
51543	158	4838	0	43	30.0	8.558307049083519	8.406466491432028	7.236815111393866e-10	16.964773540515544	0.504475171958201	0.815
51544	159	4868	0	43	30.0	8.606065263654061	8.384626222667992	7.289599702251193e-10	16.990691486322053	0.5065164811321639	0.815
51545	160	4899	0	43	30.0	8.654858593648923	8.36233189234057	7.345063022610304e-10	17.017190485989495	0.5085950351660338	0.815
51546	161	4929	0	43	30.0	8.701846995415384	8.34099362116243	7.39861642278516e-10	17.042840616577813	0.5105866557803148	0.815
51547	162	4960	0	43	30.0	8.750306034894196	8.319159419583439	7.45477841130986e-10	17.069465454477637	0.5126291774180209	0.815
51548	163	4991	0	43	30.0	8.798616640764912	8.297505389411699	7.518617390950661e-10	17.09612203017661	0.5146556994173502	0.815
51549	164	5021	0	43	30.0	8.844877263281129	8.276890598563597	7.56776340750577e-10	17.121767861844724	0.5165866827917716	0.815
51550	165	5052	0	43	30.0	8.892044501933729	8.255949505900386	7.618476869980736e-10	17.147994007834114	0.5185472130367768	0.815
51551	166	5082	0	43	30.0	8.937130610649913	8.23600120658036	7.67889927448382e-10	17.17313181723027	0.5204135568145495	0.815
51552	167	5113	0	43	30.0	8.98314046546902	8.215712653883376	7.723422385198214e-10	17.198853119352396	0.522310435651146	0.815
51553	168	5144	0	43	30.0	9.029072953405166	8.195630425094299	7.77876734423532e-10	17.224703378499463	0.5241932331139938	0.815
51554	169	5173	0	43	30.0	9.071828428907194	8.1770239610674	7.815953903819623e-10	17.248852389974594	0.5259380869987581	0.815
51555	170	5204	0	43	30.0	9.116968768126592	8.157488505883562	7.875078458924689e-10	17.274457274010153	0.5277716470921084	0.815
51556	171	5234	0	43	30.0	9.160129312751325	8.138930585205053	7.930281302022204e-10	17.299059897956376	0.5295160180255493	0.815
51557	172	5265	0	43	30.0	9.20418162704052	8.120077834794683	7.981811532445594e-10	17.324259461835204	0.5312886041286232	0.815
51558	173	5295	0	43	30.0	9.24634400709191	8.10212781492078	8.02843180247666e-10	17.34847182201269	0.5329774346671643	0.815
51559	174	5326	0	43	30.0	9.289421614175083	8.083870093165661	8.089175705551131e-10	17.373291707340744	0.5346955413319872	0.815
51560	175	5357	0	43	30.0	9.332035304516507	8.065888222240217	8.1457804244178e-10	17.397923526756724	0.5363878792871186	0.815
51561	176	5387	0	43	30.0	9.372936014524536	8.048733436090151	8.205876063480007e-10	17.421669450614687	0.5380044685782872	0.815
51562	177	5418	0	43	30.0	9.414852293128474	8.031269463222216	8.258985786684391e-10	17.446121756350692	0.5396530200014972	0.815
51563	178	5448	0	43	30.0	9.45517372817716	8.014590941384606	8.30700070472858e-10	17.469764669561766	0.5412307439178771	0.815
51564	179	5479	0	43	30.0	9.496431805079414	7.997651335970927	8.35971362519965e-10	17.49408314105034	0.5428367825002375	0.815
51565	180	5510	0	43	30.0	9.53734428908528	7.980967782947816	8.423503171678833e-10	17.518312072033094	0.5444214174213201	0.815
51566	181	5538	0	43	30.0	9.574084252992243	7.966088407837118	8.479268750344912e-10	17.540172660829363	0.5458375147225915	0.8150000000000001
51567	182	5569	0	43	30.0	9.61443487712334	7.949824314353572	8.525800583779156e-10	17.564259191476914	0.5473863014836835	0.815
51568	183	5599	0	43	30.0	9.65318188843539	7.934277435879045	8.583632999306692e-10	17.587459324314434	0.5488673327073451	0.815
51569	184	5630	0	43	30.0	9.692881794991996	7.918443164231352	8.638441384665432e-10	17.611324959223346	0.5503777721116702	0.815
51570	185	5660	0	43	30.0	9.73099141793186	7.903344463518141	8.700827272739119e-10	17.63433588145	0.5518206913688274	0.815
51571	186	5691	0	43	30.0	9.770135103994878	7.88793890965853	8.777533248484432e-10	17.65807401365341	0.5532956253575847	0.815
51572	187	5722	0	43	30.0	9.809142991253877	7.872688981661034	8.829535094352525e-10	17.68183197291491	0.5547582968936451	0.815
51573	188	5752	0	43	30.0	9.846688327926508	7.858096406612162	8.886474762206311e-10	17.70478473453867	0.5561597317089934	0.815
